SKU,ABC_Class,inventory_efficiency_factor,order_qty_factor,original_service_level,optimized_service_level,original_holding_cost,optimized_holding_cost,original_ordering_cost,optimized_ordering_cost,original_stockout_cost,optimized_stockout_cost,original_total_cost,optimized_total_cost,original_avg_inventory,optimized_avg_inventory,cost_savings_pct
BRAKE_PAD_1_005,A,1.04,0.7,0.95,0.98,384.7613,400.151752,209.1001,146.37007,8.9949,8.635104,602.8563,555.156926,633.2381,658.567624,7.912229498
BRAKE_PAD_1_049,C,0.8,0.7,0.95,0.95,166.2869,133.02952,75.9894,53.19258,2.4699,2.96388,244.7462,189.18598,355.4047,284.32376,22.701157362
BRAKE_PAD_1_079,C,0.8,0.7,0.95,0.95,108.5954,86.87632,56.3207,39.42449,1.1816,1.41792,166.0977,127.71873,91.7087,73.36696,23.106262158
BRAKE_PAD_1_083,A,1.04,0.7,0.95,0.98,515.9919,536.631576,242.3844,169.66908,14.2153,13.646688,772.5916,719.947344,1453.4069,1511.543176,6.813982446
BRAKE_PAD_1_097,B,0.8,0.7,0.95,0.95,270.2629,216.21032,121.5291,85.07037,5.0714,6.08568,396.8634,307.36637,1559.4122,1247.52976,22.551091887
BRAKE_PAD_1_108,A,1.04,0.7,0.95,0.98,429.8057,446.997928,167.3028,117.11196,7.1912,6.903552,604.2997,571.01344,841.876,875.55104,5.508237055
BRAKE_PAD_1_115,B,0.8,0.7,0.95,0.95,297.3018,237.84144,141.4411,99.00877,5.4812,6.57744,444.2241,343.42765,435.0909,348.07272,22.690450608
BRAKE_PAD_1_124,A,1.04,0.7,0.95,0.98,364.3451,378.918904,217.1484,152.00388,9.1947,8.826912,590.6882,539.749696,957.0778,995.360912,8.623585844
BRAKE_PAD_1_125,B,0.8,0.7,0.95,0.95,365.3771,292.30168,200.2591,140.18137,10.7986,12.95832,576.4348,445.44137,383.7769,307.02152,22.724760892
BRAKE_PAD_1_148,C,0.8,0.7,0.95,0.95,170.5925,136.474,82.994,58.0958,2.7399,3.28788,256.3264,197.85768,150.5457,120.43656,22.810260668
